Date,1101.TW,1102.TW,1216.TW,1301.TW,1303.TW,1326.TW,1402.TW,1722.TW,2002.TW,2105.TW,2201.TW,2207.TW,2301.TW,2303.TW,2308.TW,2317.TW,2324.TW,2330.TW,2347.TW,2353.TW,2354.TW,2357.TW,2382.TW,2409.TW,2412.TW,2454.TW,2474.TW,2498.TW,2801.TW,2880.TW,2881.TW,2882.TW,2883.TW,2885.TW,2886.TW,2890.TW,2891.TW,2892.TW,2912.TW,3008.TW,3045.TW,3231.TW,3481.TW,3673.TW,4904.TW,5880.TW,6505.TW
2012-01-02,21.95401954650879,23.18838119506836,27.30363655090332,58.919334411621094,45.0028076171875,58.096923828125,23.94373321533203,53.16167449951172,21.943946838378906,38.71074676513672,44.15073013305664,111.6524429321289,23.43039321899414,11.75,55.20687484741211,54.90520095825195,21.684946060180664,69.80000305175781,47.148193359375,33.87379837036133,67.398681640625,138.7294158935547,42.68342971801758,10.1038236618042,70.78942108154297,254.0,109.41751861572266,421.488525390625,9.513710021972656,8.888465881347656,20.82035255432129,26.796100616455078,8.3100004196167,11.099842071533203,13.648751258850098,4.594481945037842,9.642000198364258,9.415995597839355,130.478759765625,491.11334228515625,66.06907653808594,19.801883697509766,10.459869384765625,261.24444580078125,56.79999923706055,10.0265474319458,67.594482421875
2012-01-03,21.95401954650879,23.18838119506836,27.524314880371094,58.477447509765625,46.05291748046875,58.61431884765625,24.150768280029297,53.16167449951172,22.28986167907715,38.71074676513672,46.13019943237305,111.6524429321289,23.845129013061523,12.0,55.747344970703125,55.78208923339844,22.335493087768555,70.5,47.40621566772461,34.565101623535156,68.10293579101562,139.37466430664062,42.615787506103516,10.261082649230957,71.00242614746094,260.5,115.04930877685547,434.72900390625,9.633025169372559,8.888465881347656,21.539508819580078,27.599199295043945,8.4399995803833,11.397848129272461,13.648751258850098,4.76117467880249,10.086201667785645,9.415995597839355,132.04139709472656,524.8607177734375,66.20919036865234,19.801883697509766,10.459869384765625,261.24444580078125,56.79999923706055,10.0265474319458,67.27410888671875
2012-01-04,21.95401954650879,23.18838119506836,27.618927001953125,58.477447509765625,46.1279182434082,59.42739486694336,24.46128273010254,53.16167449951172,22.28986167907715,38.71074676513672,45.78594970703125,111.6524429321289,24.225223541259766,12.100000381469727,55.747344970703125,56.119346618652344,22.62462615966797,70.5,47.59969711303711,35.75019836425781,68.45507049560547,141.31040954589844,43.42751693725586,10.300395965576172,71.00242614746094,261.0,116.65838623046875,437.3771057128906,9.722489356994629,8.888465881347656,21.71929931640625,27.51460075378418,8.479999542236328,11.397848129272461,13.648751258850098,4.76117467880249,10.138456344604492,9.415995597839355,132.4320526123047,517.7560424804688,66.13912963867188,19.801883697509766,10.459869384765625,261.24444580078125,57.0,10.0265474319458,67.03385162353516
2012-01-05,21.95401954650879,23.18838119506836,27.713537216186523,59.06662368774414,46.27790832519531,59.723026275634766,24.564762115478516,53.16167449951172,22.28986167907715,38.71074676513672,46.21626281738281,111.6524429321289,24.88187599182129,13.149999618530273,56.28782272338867,56.119346618652344,22.69690704345703,76.0,47.79319381713867,37.330299377441406,68.45507049560547,150.34393310546875,43.96866989135742,10.339710235595703,71.00242614746094,282.0,117.86521911621094,428.55010986328125,9.722489356994629,8.888465881347656,23.58922576904297,27.81049919128418,8.449999809265137,11.360628128051758,13.648751258850098,4.766384601593018,10.242965698242188,9.415995597839355,132.4320526123047,521.308349609375,66.48945617675781,19.801883697509766,10.459869384765625,261.24444580078125,56.900001525878906,10.0265474319458,72.15950012207031
2012-01-06,21.922626495361328,23.120193481445312,27.99729347229004,60.31863784790039,46.20291519165039,60.831729888916016,24.047210693359375,53.31248092651367,22.28986167907715,39.18353271484375,45.95807647705078,107.81558990478516,24.950963973999023,13.0,57.13713455200195,56.591487884521484,23.022184371948242,75.5999984741211,47.92219924926758,37.330299377441406,70.07490539550781,148.40821838378906,44.23925018310547,10.143136978149414,70.93142700195312,278.5,125.91059112548828,425.4606628417969,9.633025169372559,8.861268043518066,23.22964859008789,27.303300857543945,8.220000267028809,11.286107063293457,13.78388500213623,4.709083080291748,9.90327262878418,9.468982696533203,132.04139709472656,535.5177612304688,65.15826416015625,21.170204162597656,10.502734184265137,255.61581420898438,56.400001525878906,9.727591514587402,72.4798583984375
2012-01-09,21.609027862548828,23.154251098632812,28.06036949157715,60.4659309387207,46.50290298461914,60.68389129638672,24.012744903564453,52.78463363647461,22.28986167907715,39.301692962646484,46.21626281738281,107.4319076538086,25.158300399780273,12.899999618530273,57.29154586791992,56.86134338378906,23.202892303466797,75.5999984741211,47.92219924926758,38.861000061035156,70.07490539550781,150.02134704589844,44.23925018310547,10.1038236618042,70.29240417480469,267.0,127.92195129394531,403.3932189941406,9.573325157165527,8.8069486618042,23.01384162902832,26.796100616455078,8.130000114440918,11.248884201049805,13.648751258850098,4.630948543548584,9.74651050567627,9.415995597839355,130.478759765625,532.8534545898438,65.43851470947266,21.42839813232422,10.416918754577637,250.3184051513672,56.400001525878906,9.564582824707031,72.4798583984375
2012-01-10,22.267620086669922,23.52939796447754,28.690872192382812,61.055110931396484,47.40301513671875,60.68389129638672,24.90974235534668,53.16167449951172,22.28986167907715,39.656314849853516,47.24903106689453,108.19929504394531,25.849462509155273,13.300000190734863,58.372562408447266,58.27779006958008,23.311315536499023,76.5,48.11568069458008,38.1697998046875,70.42704010009766,148.08555603027344,44.23925018310547,10.77216911315918,69.93738555908203,270.0,127.11742401123047,396.77294921875,9.692638397216797,8.861268043518066,23.157686233520508,27.26099967956543,8.279999732971191,11.807598114013672,13.986589431762695,4.641366004943848,9.98161792755127,9.548613548278809,132.04139709472656,529.3012084960938,65.85887908935547,21.42839813232422,10.931374549865723,252.3050079345703,56.20000076293945,9.673307418823242,74.48206329345703
2012-01-11,22.581283569335938,23.52939796447754,28.785478591918945,60.4659309387207,47.25294876098633,60.38825988769531,24.875276565551758,53.23707580566406,22.251441955566406,39.71543502807617,47.765411376953125,108.58296203613281,25.849462509155273,13.449999809265137,58.372562408447266,58.14290237426758,23.022184371948242,76.5,48.11568069458008,37.824100494384766,69.44100189208984,148.08555603027344,44.645111083984375,11.24394416809082,70.29240417480469,274.5,128.32423400878906,406.0412902832031,9.662788391113281,8.834070205688477,23.157686233520508,27.218799591064453,8.239999771118164,11.621334075927734,13.817668914794922,4.636157035827637,9.877108573913574,9.468982696533203,133.60400390625,542.62255859375,65.99900817871094,21.480010986328125,10.845647811889648,243.69601440429688,54.5,9.700450897216797,74.48206329345703
2012-01-12,22.706724166870117,23.836280822753906,28.817018508911133,61.34975814819336,47.25294876098633,60.979583740234375,24.90974235534668,52.48301696777344,22.251441955566406,40.18821716308594,47.3350944519043,108.19929504394531,25.88404083251953,13.850000381469727,59.22187805175781,58.412662506103516,23.1306095123291,77.0,48.69620132446289,37.527801513671875,69.44100189208984,148.08555603027344,44.7803955078125,11.204629898071289,70.29240417480469,272.0,128.32423400878906,409.1307373046875,9.603174209594727,8.752554893493652,23.01384162902832,27.134300231933594,8.140000343322754,11.733077049255371,13.817668914794922,4.578856945037842,9.98161792755127,9.336365699768066,128.52549743652344,542.62255859375,65.99900817871094,21.2476863861084,10.674190521240234,234.09417724609375,54.0,9.700450897216797,74.48206329345703
2012-01-13,22.706724166870117,23.904468536376953,28.817018508911133,61.86525344848633,47.25294876098633,61.05351257324219,24.9787540435791,52.70923614501953,22.251441955566406,40.36549758911133,47.3350944519043,107.81558990478516,25.88404083251953,13.850000381469727,60.148399353027344,57.468387603759766,23.275177001953125,77.5,49.212196350097656,36.83649826049805,68.87763977050781,148.08555603027344,44.7803955078125,10.929427146911621,70.29240417480469,272.0,129.9333038330078,424.57794189453125,9.603174209594727,8.8069486618042,22.9778995513916,27.472400665283203,8.130000114440918,11.584113121032715,13.817668914794922,4.584064483642578,9.955527305603027,9.362934112548828,128.52549743652344,532.8534545898438,66.55951690673828,21.325109481811523,10.502734184265137,239.06031799316406,54.70000076293945,9.646088600158691,74.80241394042969
